FULL_ADDRESS,Type,Description,Municipality,Community,Days,%,List Price,Sold Price,Expiry Date,Street Name,St#,Bedroom,BedPlus,Wr,Garage Type,Parking Drive Spaces,Pool,Contract Date,Sold Date,Remarks For Clients,Extras,Address,Postal Code,Municipality District
"35 Abela Lane, Ajax, ONTARIO, CANADA, L1T0C3",Att/Row/Twn...,2-Storey,Ajax,Central,42,96,"$539,000 ","$515,000 ",2018-05-15,Abela,35,3,,3,Attached,1,None,2017-11-15,2017-12-27,"Welcome To 35 Abela Lane! A Bright And Spacious 3 Bedroom Townhouse Located In Central Ajax! Freshly Painted With Appealing Neutral Decor. Open Concept Living Space On Main Floor. The Second Floor Boasts 3 Sizable Bedrooms With Plenty Of Closet Space And The Convenience Of A Laundry Room! The Basement Is Unspoiled And Awaits Your Finishing Touches. Perfect For A Rec Room Or Additional Living Space. Minutes From Shopping, Restaurants, Transit And Hwy 401","All Electrical Light Fixtures, Stove, Fridge, B/I Dishwasher, Washer And Dryer.",35 Abela Lane,L1T0C3,Ajax
"51 Angus Dr, Ajax, ONTARIO, CANADA, L1S5C5",Detached,2-Storey,Ajax,Central,32,99,"$699,888 ","$690,000 ",2018-02-05,Angus,51,3,1,4,Attached,3,None,2017-12-05,2018-01-06,"A Renovated And Redesigned 4 Bedrooms 4 Washrooms Modern Detached Home. This Masterpiece Features Custom Kitchen With Quartz Countertops, Gas Stove And Stainless Steel Appliances. A Brand New Stairwell Encased By Wainscoting And Premium Hand-Scrapped Flooring. The Master Bedroom Spotlights Marble Tiling And Heated Floors. The Exterior Has New Landscaping. Close To Amenities, Schools And Highways. Don't Miss Out On This Turnkey Semi-Furnished Home","Ge Gas Stove, Ge Double Fridge, Ge Dishwasher, Washer And Dryer (As Is), Elf, Curtains, Master Bedroom Mattress, Frame, Headboard. 2nd Bedroom Mattress, Frame And Headboard. Mirrors, New Tv, Sofa In Family Room And 2 Chairs. Hwt (Rental).",51 Angus Dr,L1S5C5,Ajax
"56 Barnes Dr, Ajax, ONTARIO, CANADA, L1S5G5",Detached,2-Storey,Ajax,Central,8,103,"$600,000 ","$617,000 ",2018-01-31,Barnes,56,3,1,4,Attached,4,None,2017-11-23,2017-12-01,"Stunning Detached Home W/ Lots Of Upgrades! Main Kitchen Renovated (2013) W/ Granite Counters, Oversized Breakfast Bar Island & Custom Backsplash. Family Room W/ Wood-Burning Fireplace & W/O To Interlocking Patio & 10'X10' Gazebo (2016). New Laminate In Upper Bdrms (2017) & Freshly Painted Throughout. Enter Thru Double Doors Into Master Bdrm W/ Double Closets & Ensuite. Professionally Finished Bsmt (2016) W/ In-Law Suite - Walk-Up, Separate Kitchen & Bdrm.","Fridge, S/S Stove, S/S B/I D/W, B/I Microwave, Washer, Dryer, Furnace (2016), Cac & Equip (2016), Elfs, Pot Lights, Hwt (Rental) *Exclude: Drapes & Rods, Fridge & Stove In Bsmt",56 Barnes Dr,L1S5G5,Ajax
"20 Beech St, Ajax, ONTARIO, CANADA, L1S1W1",Detached,Bungalow,Ajax,Central,11,103,"$389,800 ","$400,000 ",2018-04-30,Beech,20,2,,1,Detached,3,None,2017-12-29,2018-01-09,"Perfect Starter Centrally Located In Ajax. Updated Bathroom With Heated Floors - Updated Eat In Kitchen With Wall Oven, Built In Range & Dishwasher. Ample Counter Space. Newer Deck & Large Yard With Single Car Garage. Updated 100 Amp Service.Walking Distance To Shopping, Transit And Schools. Don't Miss This Wonderful Opportunity To Own Your Own Detached Home In A Friendly Neighborhood.","All Electric Light Fixtures, Window Coverings, Fridge, Stove Top, Wall Oven, Built In Dishwasher, Washer, Dryer, Hot Water Tank Ownedlaundry Room Built In Cupboards. Roof 2011 As Per Previous Listing. Survey Attached.",20 Beech St,L1S1W1,Ajax
"6 Blackburn Cres, Ajax, ONTARIO, CANADA, L1S5Z2",Detached,2-Storey,Ajax,Central,37,95,"$639,000 ","$605,000 ",2017-12-31,Blackburn,6,4,1,4,Attached,4,None,2017-10-31,2017-12-07,"This Gorgeous 4+1 Bdrm, Detached Home Is Ideally Located In Central Ajax Close To All Amenities Incl Transit, Schools, Shopping, Parks, 401& More. Large Open Kitchen W W/O To Deck Is Perfect For Entertaining. Relax In Your Lrg Master Bdrm W 2Pc Ensuite & W/I Closet! 3 Large Bedrooms On Upper Level With Brand New Carpet. Convenient Main Fl Laundry. Fully Finished Bsmt W 5th Br, Kitchen, 4Pc Bath & Potential For Separate Entrance/Apartment.","Numerous Updates! Bedroom Carpet(2017),Water Filtration (2015), Furnace (2014), Laminate(2014), Ac(2012), Roof(2007), Newerwindows.Inc:Fridge, Stove, Built-In Dishwasher, Washer, Dryer, All Window Coverings, All Elfs, Exl:Gazebo& Fireplace",6 Blackburn Cres,L1S5Z2,Ajax
"79 Chadwick Dr, Ajax, ONTARIO, CANADA, L1S5V4",Detached,2-Storey,Ajax,Central,2,99,"$539,900 ","$534,900 ",2018-02-28,Chadwick,79,3,,3,Attached,2,None,2017-12-02,2017-12-04,"Very Desirable Central Ajax In A Family Neighbourhood On A Quiet End Court. Walk To Go Station, Shopping & Transit, Close To 401, Great Schools & Parks. Fully Detached With 3 Very Spacious Bedrooms Brick Home Facing South & ( No Sidewalk), Finished Basement With Direct Walkout To Private Fenced Backyard. Newer Windows On 2nd Floor, Roof Shingles ( 2010 ). Great Value ! Bring Your Personal Touch To Make It Your Family Home In A Prime Ajax Location !!","Ss Fridge, Ss Stove, B/I Dishwasher, Washer, Dryer, Chest Freezer In Basement, Garage Door Opener & Remote, All Electric Light Fixtures, All Window Coverings, Builder Rough In For Bathroom In Basement. Seperate Entrance.",79 Chadwick Dr,L1S5V4,Ajax
"25 Cornwall Dr, Ajax, ONTARIO, CANADA, L1T3G5",Detached,2-Storey,Ajax,Central,9,103,"$499,900 ","$515,000 ",2018-01-31,Cornwall,25,3,,2,Attached,2,Abv Grnd,2017-11-29,2017-12-08,"Location Is Everything!! Conveniently Located Within Walking Distance To Both Public And Separate Schools, Mclean's Community Centre With Indoor Pool!! Many Other Amenities Including Shops And Transit!! This Well Built Detached Home Is Situated On A Neighbor Friendly Quiet Street. Laminate Floors Throughout The Main Floor, Well Laid Out Large Kitchen With Walk Out To 16 X 16 Ft Deck. 3 Good Sized Bedrooms And Loads Of Storage Space.","Includes: Fridge, Stove, Built In Dishwasher, Electric Light Fixtures, Window Coverings, Washer, Dryer, Garden Shed, A/G Pool Exc: Ceiling Fan In The Kitchen. Needs Some Tlc Have Fun With Pintrest On This One! New Furnace And Central Air.",25 Cornwall Dr,L1T3G5,Ajax
"91 Dobson Dr, Ajax, ONTARIO, CANADA, L1S5G1",Detached,2-Storey,Ajax,Central,23,100,"$599,900 ","$599,900 ",2018-07-03,Dobson,91,3,1,4,Attached,2,None,2017-11-12,2017-12-05,"Thousands Of $s Spent On Renovations! New Kitchen With Granite Counter Top, Windows 2015, Roof 2014, Furnace 213, Deck 2016, Driveway 2017, 10X10 Shed 2016, Central Air 2017, Garage Insulated Top To Bottom With A Loft And Electric Fireplace, Finished Basement With A Bedroom & 4Pc Washroom: Possible Potential For In Law Income. Walking Distance To Costco, Walmart, Homedepot, High School & French Immersion School, 2 Minutes To 401 And Few Minutes To 407","Ss Appliances, Washer &Dryer, Dishwasher, All Window Coverings",91 Dobson Dr,L1S5G1,Ajax
"5 Dowers Dr, Ajax, ONTARIO, CANADA, L1T3C8",Detached,2-Storey,Ajax,Central,41,92,"$569,900 ","$525,000 ",2018-04-22,Dowers,5,3,,2,Attached,4,None,2017-12-01,2018-01-11,"Beautiful Detached 3 Bedroom Home In Central Ajax With Double Drive & Front Enclosed Porch. Quiet Family Area & Close To All Amenities Including Schools, Places Of Worship, Shopping, Medical Centre, Transit, Mins To Hwy 401. Very Clean & Well Maintained Home In Move-In Condition. Walk-Out From Kitchen To Private, Fully Fenced Backyard With Gazebo. Large Eat-In Kitchen, Interlocking Brick Walkway.","Existing Fridge, Stove, B/I Dishwasher, Washer/Dryer, All Elf's, All Window Coverings, Gazebo & Garden Shed. Excl: Gazebo Chairs, Patio Door Drapes & Master Bedroom Curtains.",5 Dowers Dr,L1T3C8,Ajax
"6 Durham St, Ajax, ONTARIO, CANADA, L1S1W8",Detached,Bungalow,Ajax,Central,11,100,"$349,900 ","$350,000 ",2018-02-02,Durham,6,2,,1,None,2,None,2017-12-01,2017-12-12,"Desirable 2 Bedroom Detached Home In Central Ajax, Minutes To Hwy 401. Updated Kitchen, Renovated Bathroom-2017, Ceramic And Hardwood Floor Throughout. Mud Room Or Enclosed Front Porch Entrance. Shingles Approx: 5 Years Old, Large Rear Deck, Huge Rear Yard.A Quick Closing Is Available.","Extras: Includes: Fridge, Stove (As Is), Washer, Dryer, Dishwasher, Window Air Conditioner, All Window Coverings. Hwt(R)-$28.67/Mo-Enbridge. No Survey- Lot Size Per Mpac.",6 Durham St,L1S1W8,Ajax
